species,name,native,endangered,habitat,waterdepthmin,waterdepthmax,rootdepth,groundwatertablechange,floodheightmax,floodlossinpercent,floodduration
Gypsophila repens,Kriechendes Gipskraut,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Salix nigricans,Schwarz Weide,1,not listed,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Hippophae rhamnoides subsp. fluviatilis Soest,Fluss Sanddorn,1,endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,Nodata,NoData
Ulmus minor,Feld Ulme,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,50-280,270,NoData,90
Quercus robur,Stiel Eiche,1,not endangered,Oberrheinisches Tiefland,NoData,70,NoData,30-150,349,NoData,113
Alnus glutinosa,Schwarzerle,1,not endangered,Oberrheinisches Tiefland,NoData,70,NoData,0-80,312,50,29-45
Populus nigra,Schwarzpappel,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,50-280,160,NoData,NoData
Populus alba,Silberpappel,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,180,NoData,NoData
Salix purpurea,Purpur Weide,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,210,NoData,170
Salix alba,Silber Weide,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,350,NoData,169
Salix eleagnos,Lavendel Weide,1,pre warning,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Fraxinus excelsior,Gewoehnliche Esche,1,not endangered,Oberrheinisches Tiefland,NoData,70,NoData,NoData,340,25,45
Rhamnus cathartica,Purgier Kreuzdorn,1,not endagnered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,190-200,50,NoData
Agrostis stolonifera,Weisses Straussgras,1,not endangered,Oberheinisches Tiefland,NoData,130,NoData,NoData,NoData,NoData,NoData
pinus sylvestris,Gewoehnliche Kiefer,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,NoData,NoData,NoData
cornus sanguinea,Blutroter Hartriegel,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,200,50,120
sambucus nigra,Schwarzer Holunder,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,250,>50,NoData
prunus spinosa,Schlehe,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,250,50,NoData
Euonymus europaeus,Europaeisches Pfaffenhuetchen,1,not endangered,Oberrheinisches Tiefland,NoData,NoData,NoData,NoData,190,NoData,117
acer pseudoplatanus,Berg Ahorn,1,not endangered,Oberrheinisches Tiegland,NoData,NoData,NoData,NoData,150-190,NoData,40
